Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Year,Month,Quarter,Week,DayOfWeek,IsWeekend,DayOfYear,LeadTime,IsHoliday,HasDiscount,Revenue,ProfitMargin
CA-2014-103800,2014-01-03,2014-01-07,Standard Class,DP-13000,Consumer,Houston,Texas,Central,OFF-PA-10000174,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",16.448,2.0,0.2,5.5512,2014,1,1,1,4,0,3,4,0,1,32.896,0.33749999999999997
CA-2014-112326,2014-01-04,2014-01-08,Standard Class,PO-19195,Home Office,Naperville,Illinois,Central,OFF-LA-10003223,Office Supplies,Labels,Avery 508,11.784,3.0,0.2,4.2717,2014,1,1,1,5,1,4,4,0,1,35.352000000000004,0.3625
CA-2014-112326,2014-01-04,2014-01-08,Standard Class,PO-19195,Home Office,Naperville,Illinois,Central,OFF-ST-10002743,Office Supplies,Storage,SAFCO Boltless Steel Shelving,272.736,3.0,0.2,-39.724125,2014,1,1,1,5,1,4,4,0,1,818.208,-0.14565046418514607
CA-2014-112326,2014-01-04,2014-01-08,Standard Class,PO-19195,Home Office,Naperville,Illinois,Central,OFF-BI-10004094,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,3.54,2.0,0.8,-5.487,2014,1,1,1,5,1,4,4,0,1,7.08,-1.55
CA-2014-141817,2014-01-05,2014-01-12,Standard Class,MB-18085,Consumer,Philadelphia,Pennsylvania,East,OFF-AR-10003478,Office Supplies,Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",19.536,3.0,0.2,4.884,2014,1,1,1,6,1,5,7,0,1,58.608000000000004,0.25
CA-2014-167199,2014-01-06,2014-01-10,Standard Class,ME-17320,Home Office,Henderson,Kentucky,South,OFF-AR-10001662,Office Supplies,Art,Rogers Handheld Barrel Pencil Sharpener,5.48,2.0,0.0,1.4796,2014,1,1,2,0,0,6,4,0,0,10.96,0.26999999999999996
CA-2014-167199,2014-01-06,2014-01-10,Standard Class,ME-17320,Home Office,Henderson,Kentucky,South,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,498.93,9.0,0.0,70.816875,2014,1,1,2,0,0,6,4,0,0,4490.37,0.14193749624195778
CA-2014-167199,2014-01-06,2014-01-10,Standard Class,ME-17320,Home Office,Henderson,Kentucky,South,OFF-BI-10004632,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,498.93,2.0,0.0,70.816875,2014,1,1,2,0,0,6,4,0,0,997.86,0.14193749624195778
CA-2014-106054,2014-01-06,2014-01-07,First Class,JO-15145,Corporate,Athens,Georgia,South,OFF-AR-10002399,Office Supplies,Art,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",12.78,3.0,0.0,5.2398,2014,1,1,2,0,0,6,1,0,0,38.339999999999996,0.41000000000000003
CA-2014-167199,2014-01-06,2014-01-10,Standard Class,ME-17320,Home Office,Henderson,Kentucky,South,TEC-PH-10004977,Technology,Phones,GE 30524EE4,391.98,2.0,0.0,70.816875,2014,1,1,2,0,0,6,4,0,0,783.96,0.18066451094443592
CA-2014-167199,2014-01-06,2014-01-10,Standard Class,ME-17320,Home Office,Henderson,Kentucky,South,TEC-PH-10004539,Technology,Phones,Wireless Extenders zBoost YX545 SOHO Signal Booster,498.93,4.0,0.0,70.816875,2014,1,1,2,0,0,6,4,0,0,1995.72,0.14193749624195778
CA-2014-167199,2014-01-06,2014-01-10,Standard Class,ME-17320,Home Office,Henderson,Kentucky,South,OFF-FA-10001883,Office Supplies,Fasteners,"Alliance Super-Size Bands, Assorted Sizes",31.12,4.0,0.0,0.3112,2014,1,1,2,0,0,6,4,0,0,124.48,0.009999999999999998
CA-2014-167199,2014-01-06,2014-01-10,Standard Class,ME-17320,Home Office,Henderson,Kentucky,South,OFF-PA-10000955,Office Supplies,Paper,Southworth 25% Cotton Granite Paper & Envelopes,6.54,1.0,0.0,3.0084,2014,1,1,2,0,0,6,4,0,0,6.54,0.45999999999999996
CA-2014-130813,2014-01-06,2014-01-08,Second Class,LS-17230,Consumer,Los Angeles,California,West,OFF-PA-10002005,Office Supplies,Paper,Xerox 225,19.44,3.0,0.0,9.3312,2014,1,1,2,0,0,6,2,0,0,58.32000000000001,0.48000000000000004
CA-2014-105417,2014-01-07,2014-01-12,Standard Class,VS-21820,Consumer,Huntsville,Texas,Central,FUR-FU-10004864,Furniture,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",76.728,3.0,0.6,-39.724125,2014,1,1,2,1,0,7,5,0,1,230.18399999999997,-0.5177265796058805
CA-2014-105417,2014-01-07,2014-01-12,Standard Class,VS-21820,Consumer,Huntsville,Texas,Central,OFF-BI-10003708,Office Supplies,Binders,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",10.43,7.0,0.8,-18.2525,2014,1,1,2,1,0,7,5,0,1,73.00999999999999,-1.7500000000000002
CA-2014-135405,2014-01-09,2014-01-13,Standard Class,MS-17830,Consumer,Laredo,Texas,Central,OFF-AR-10004078,Office Supplies,Art,Newell 312,9.344,2.0,0.2,1.168,2014,1,1,2,3,0,9,4,0,1,18.688,0.125
CA-2014-135405,2014-01-09,2014-01-13,Standard Class,MS-17830,Consumer,Laredo,Texas,Central,TEC-AC-10001266,Technology,Accessories,Memorex Micro Travel Drive 8 GB,31.2,3.0,0.2,9.75,2014,1,1,2,3,0,9,4,0,1,93.6,0.3125
CA-2014-149020,2014-01-10,2014-01-15,Standard Class,AJ-10780,Corporate,Springfield,Virginia,South,FUR-FU-10000965,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",51.94,1.0,0.0,21.2954,2014,1,1,2,4,0,10,5,0,0,51.94,0.41000000000000003
CA-2014-149020,2014-01-10,2014-01-15,Standard Class,AJ-10780,Corporate,Springfield,Virginia,South,OFF-LA-10004272,Office Supplies,Labels,Avery 482,2.89,1.0,0.0,1.3583,2014,1,1,2,4,0,10,5,0,0,2.89,0.47000000000000003
CA-2014-130092,2014-01-11,2014-01-14,First Class,SV-20365,Consumer,Dover,Delaware,East,FUR-FU-10000010,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",9.94,2.0,0.0,3.0814,2014,1,1,2,5,1,11,3,0,0,19.88,0.31
