Week,Forecast_Sales,Lower_95,Upper_95,Is_Holiday
2012-11-02,1750124.9065984006,1444897.9806017706,2119829.3342087087,0
2012-11-09,1733500.575816505,1414682.4979683564,2124168.623575776,1
2012-11-16,1696070.9477077422,1370708.1796873016,2098664.489682781,1
2012-11-23,1955054.99416613,1573446.0877090518,2429215.69891685,0
2012-11-30,1768465.1928145087,1419158.914721517,2203748.304560614,0
2012-12-07,1886801.0560233116,1511004.2090609428,2356061.0289497697,0
2012-12-14,1929583.5460064698,1542637.8952278804,2413588.1631573206,0
2012-12-21,2023977.8621378741,1615685.0571804864,2535448.517667843,1
2012-12-28,1683405.1144032949,1341955.3680304498,2111733.936784545,1
2013-01-04,1661587.56059263,1322815.8526437168,2087118.2706492478,0
2013-01-11,1594473.8267458093,1267760.349909748,2005384.298508326,0
2013-01-18,1633232.2077739206,1296946.5839698701,2056713.3529506428,1
