Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
05-02-2010,317173.1,0,39.7,2.572,211.6539716,6.566
12-02-2010,311825.7,1,39.81,2.548,211.8004698,6.566
19-02-2010,303447.57,0,41.14,2.514,211.8471283,6.566
26-02-2010,270281.63,0,46.7,2.561,211.8771468,6.566
05-03-2010,288855.71,0,48.89,2.625,211.9071653,6.566
12-03-2010,297293.59,0,58.5,2.667,211.9371839,6.566
19-03-2010,281706.41,0,55.46,2.72,211.770897,6.566
26-03-2010,273282.97,0,52.47,2.732,211.5718925,6.566
02-04-2010,331406,0,63.18,2.719,211.372888,6.465
09-04-2010,328020.49,0,65.19,2.77,211.1738835,6.465
16-04-2010,306858.69,0,65.3,2.808,211.0388528,6.465
23-04-2010,288839.73,0,65.13,2.795,210.9891204,6.465
30-04-2010,298697.84,0,67.53,2.78,210.939388,6.465
07-05-2010,333522.6,0,71.53,2.835,210.8896556,6.465
14-05-2010,296673.77,0,74.79,2.854,210.8872772,6.465
21-05-2010,301615.49,0,75.2,2.826,211.169023,6.465
28-05-2010,310013.11,0,79.81,2.759,211.4507688,6.465
04-06-2010,337825.89,0,79.54,2.705,211.7325146,6.465
11-06-2010,296641.91,0,80.7,2.668,212.0142605,6.465
18-06-2010,313795.6,0,83.91,2.637,212.0119769,6.465
25-06-2010,295257.3,0,83.72,2.653,211.8960815,6.465
02-07-2010,305993.27,0,81.25,2.669,211.7801861,6.496
09-07-2010,291808.87,0,81.14,2.642,211.6642907,6.496
16-07-2010,280701.7,0,83.98,2.623,211.6561123,6.496
23-07-2010,274742.63,0,83.66,2.608,211.7915565,6.496
30-07-2010,268929.03,0,82.46,2.64,211.9270006,6.496
06-08-2010,303043.02,0,86.1,2.627,212.0624447,6.496
13-08-2010,286477.35,0,87.41,2.692,212.1978889,6.496
20-08-2010,287205.38,0,87.71,2.664,212.1608984,6.496
27-08-2010,288519.75,0,87.05,2.619,212.123908,6.496
03-09-2010,323798,0,84.06,2.577,212.0869176,6.496
10-09-2010,306533.08,1,79.86,2.565,212.0499271,6.496
17-09-2010,282558.65,0,82.28,2.582,212.0769346,6.496
24-09-2010,293131.58,0,78.53,2.624,212.1519404,6.496
01-10-2010,283178.12,0,71.1,2.603,212.2269463,6.768
08-10-2010,290494.85,0,64.99,2.633,212.3019522,6.768
15-10-2010,280681.2,0,68.11,2.72,212.3691867,6.768
22-10-2010,284988.27,0,70.96,2.725,212.4169928,6.768
29-10-2010,278031.81,0,70.58,2.716,212.464799,6.768
05-11-2010,325310.3,0,58.88,2.689,212.5126051,6.768
12-11-2010,301827.36,0,62.37,2.728,212.5604113,6.768
19-11-2010,297384.81,0,52.52,2.771,212.445487,6.768
26-11-2010,488362.61,1,66.15,2.735,212.303441,6.768
03-12-2010,344490.88,0,51.31,2.708,212.1613951,6.768
10-12-2010,352811.53,0,48.27,2.843,212.0193491,6.768
17-12-2010,367801.19,0,51.61,2.869,211.9580815,6.768
24-12-2010,466010.25,0,55.01,2.886,211.9573978,6.768
31-12-2010,298180.18,1,49.79,2.943,211.9567142,6.768
07-01-2011,286347.26,0,48.3,2.976,211.9560305,6.634
14-01-2011,260636.71,0,37.74,2.983,212.008514,6.634
21-01-2011,275313.34,0,45.41,3.016,212.3800012,6.634
28-01-2011,279088.39,0,44.5,3.01,212.7514884,6.634
