Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
05-02-2010,543384.01,0,54.34,2.962,126.4420645,9.765
12-02-2010,575709.96,1,49.96,2.828,126.4962581,9.765
19-02-2010,508794.87,0,58.22,2.915,126.5262857,9.765
26-02-2010,491510.58,0,52.77,2.825,126.5522857,9.765
05-03-2010,554972.42,0,55.92,2.877,126.5782857,9.765
12-03-2010,588363.62,0,52.33,3.034,126.6042857,9.765
19-03-2010,519914.1,0,61.46,3.054,126.6066452,9.765
26-03-2010,478021.68,0,60.05,2.98,126.6050645,9.765
02-04-2010,505907.41,0,63.66,3.086,126.6034839,9.524
09-04-2010,582552.26,0,65.29,3.004,126.6019032,9.524
16-04-2010,549528.16,0,69.74,3.109,126.5621,9.524
23-04-2010,492364.77,0,66.42,3.05,126.4713333,9.524
30-04-2010,477615.87,0,69.76,3.105,126.3805667,9.524
07-05-2010,582846.22,0,71.06,3.127,126.2898,9.524
14-05-2010,564345.55,0,73.88,3.145,126.2085484,9.524
21-05-2010,504403.16,0,78.32,3.12,126.1843871,9.524
28-05-2010,484097.03,0,76.67,3.058,126.1602258,9.524
04-06-2010,556046.12,0,82.82,2.941,126.1360645,9.524
11-06-2010,607218.6,0,89.67,3.057,126.1119032,9.524
18-06-2010,529418.64,0,83.49,2.935,126.114,9.524
25-06-2010,484327.56,0,90.32,3.084,126.1266,9.524
02-07-2010,507168.8,0,92.89,2.978,126.1392,9.199
09-07-2010,570069.48,0,91.03,3.1,126.1518,9.199
16-07-2010,558837.27,0,91.8,2.971,126.1498065,9.199
23-07-2010,491115.86,0,88.44,3.112,126.1283548,9.199
30-07-2010,469598.57,0,85.03,3.017,126.1069032,9.199
06-08-2010,579544.21,0,86.13,3.123,126.0854516,9.199
13-08-2010,583079.97,0,88.37,3.049,126.064,9.199
20-08-2010,500945.63,0,89.88,3.041,126.0766452,9.199
27-08-2010,465993.51,0,84.99,3.022,126.0892903,9.199
03-09-2010,524658.06,0,83.8,3.087,126.1019355,9.199
10-09-2010,589091.04,1,84.04,2.961,126.1145806,9.199
17-09-2010,536871.58,0,85.52,3.028,126.1454667,9.199
24-09-2010,492262.96,0,85.75,2.939,126.1900333,9.199
01-10-2010,481523.93,0,86.01,3.001,126.2346,9.003
08-10-2010,599759.45,0,77.04,2.924,126.2791667,9.003
15-10-2010,559285.35,0,75.48,3.08,126.3266774,9.003
22-10-2010,522467.51,0,68.12,3.014,126.3815484,9.003
29-10-2010,476967.65,0,68.76,3.13,126.4364194,9.003
05-11-2010,565390.4,0,71.04,3.009,126.4912903,9.003
12-11-2010,588592.61,0,61.24,3.13,126.5461613,9.003
19-11-2010,524316.21,0,58.83,3.047,126.6072,9.003
26-11-2010,522296.71,1,55.33,3.162,126.6692667,9.003
03-12-2010,500250.8,0,51.17,3.041,126.7313333,9.003
10-12-2010,585175.24,0,60.51,3.091,126.7934,9.003
17-12-2010,537455.65,0,59.15,3.125,126.8794839,9.003
24-12-2010,555075.27,0,57.06,3.236,126.9835806,9.003
31-12-2010,428953.6,1,49.67,3.148,127.0876774,9.003
07-01-2011,592947.75,0,43.43,3.287,127.1917742,8.744
14-01-2011,613899.15,0,49.98,3.312,127.3009355,8.744
21-01-2011,533414.62,0,56.75,3.336,127.4404839,8.744
28-01-2011,499081.79,0,53.03,3.231,127.5800323,8.744
04-02-2011,586886.16,0,44.88,3.348,127.7195806,8.744
11-02-2011,628063.88,1,51.51,3.381,127.859129,8.744
18-02-2011,556485.1,0,61.77,3.43,127.99525,8.744
25-02-2011,526904.08,0,53.59,3.398,128.13,8.744
04-03-2011,570879.04,0,56.96,3.674,128.26475,8.744
11-03-2011,607294.56,0,64.22,3.63,128.3995,8.744
18-03-2011,558239.32,0,70.12,3.892,128.5121935,8.744
25-03-2011,522673.62,0,62.53,3.716,128.6160645,8.744
01-04-2011,508432.17,0,67.64,3.772,128.7199355,8.494
08-04-2011,620087.35,0,73.03,3.818,128.8238065,8.494
15-04-2011,597644.02,0,61.05,4.089,128.9107333,8.494
22-04-2011,534597.69,0,75.93,3.917,128.9553,8.494
29-04-2011,496010.17,0,73.38,4.151,128.9998667,8.494
06-05-2011,612337.35,0,73.56,4.193,129.0444333,8.494
13-05-2011,603024.75,0,74.04,4.202,129.089,8.494
20-05-2011,524559.95,0,72.62,3.99,129.0756774,8.494
